City ID,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Şabrātah,1,LY,1584742026,67,32.79,12.49,62.46,32.44
85,Ambon City,20,ID,1584742026,88,-3.7,128.18,77.0,6.93
86,College,90,US,1584742026,80,64.86,-147.8,39.2,16.11
87,Mirante do Paranapanema,75,BR,1584742027,83,-22.29,-51.91,77.0,6.35
88,Pedra Branca,99,BR,1584742027,89,-5.45,-39.72,76.86,4.32
89,Carnarvon,100,AU,1584741791,83,-24.87,113.63,77.0,16.11
90,Mahanje,56,TZ,1584742027,98,-9.93,35.33,66.78,4.0
91,Panlaitan,0,PH,1584742027,76,12.12,119.85,78.66,4.9
92,Tucumcari,90,US,1584741791,52,35.17,-103.72,43.0,5.01
93,Samfya,100,ZM,1584742027,97,-11.36,29.56,67.14,7.16
94,Marzuq,11,YE,1584742027,67,14.4,46.47,68.22,4.23
95,Keetmanshoop,94,NA,1584741833,34,-26.58,18.13,78.8,9.17
96,Bowen,75,AU,1584742027,94,-20.02,148.23,79.0,4.03
97,Yellowknife,75,CA,1584741687,67,62.46,-114.35,26.01,17.22
98,Acapulco de Juárez,40,MX,1584742028,74,16.86,-99.89,84.2,9.17
99,Port Hardy,5,CA,1584741802,75,50.7,-127.42,46.4,4.7
100,Ribeira Grande,75,PT,1584741772,72,38.52,-28.7,60.8,4.7
101,Bethel,75,US,1584741552,68,41.37,-73.41,73.99,13.87
102,City of San Pedro,20,PH,1584741796,78,14.35,121.02,78.8,2.24
103,Yulara,0,AU,1584742028,33,-25.24,130.99,71.6,9.17
104,Brae,74,GB,1584742028,74,60.4,-1.35,37.4,6.11
105,Hong Kong,40,HK,1584741727,94,22.29,114.16,72.0,11.41
106,Kropyvnytskyi,39,UA,1584741840,48,48.51,32.26,43.74,2.04
107,Lianzhou,100,CN,1584742028,98,24.78,112.38,66.78,4.59
108,Marsh Harbour,0,BS,1584741913,75,26.54,-77.06,74.52,15.48
109,Kokoda,49,PG,1584742028,92,-8.88,147.74,63.36,3.36
